Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,200,47,44.53,27.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,150,57,370.87,129.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,200,47,42.38,28.02
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,200,74,810.21,253.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,200,80,814.62,379.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/oxford.txt,2,200,47,43.0,27.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/manchester.txt,2,50,80,338.45,116.25
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/manchester.txt,2,50,80,349.05,119.47
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/manchester.txt,2,50,79,362.1,114.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/nottingham.txt,2,50,88,210.08,87.85
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/plymouth.txt,2,50,64,92.83,40.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/nottingham.txt,2,50,88,211.21,84.84
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/nottingham.txt,2,50,89,217.76,86.35
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/plymouth.txt,2,50,64,105.18,40.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,200,79,891.76,392.7
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/manchester.txt,2,50,80,396.91,117.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,150,77,491.09,206.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/plymouth.txt,2,50,63,101.81,40.15
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,150,81,551.59,263.93
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/nottingham.txt,2,50,89,243.89,91.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,200,79,895.83,393.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/nottingham.txt,2,50,86,246.36,94.81
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,150,87,255.54,115.91
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,150,85,254.53,117.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,150,77,508.72,203.92
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,150,76,525.79,200.25
